首站抵達地,年度,總人數
亞洲地區,2002,6169631
亞洲地區,2003,4852745
亞洲地區,2004,6428530
亞洲地區,2005,6740421
亞洲地區,2006,7248944
亞洲地區,2007,7442577
亞洲地區,2008,6973043
亞洲地區,2009,7179431
亞洲地區,2010,8642677
亞洲地區,2011,8762214
亞洲地區,2012,9367597
亞洲地區,2013,10388937
亞洲地區,2014,11095664
亞洲地區,2015,12353288
亞洲地區,2016,13539067
亞洲地區,2017,14253762
亞洲地區,2018,15152547
亞洲地區,2019,15757473
亞洲地區,2020,2038522
亞洲地區,2021,232736
亞洲地區,2022,1137862
亞洲地區,2023,10752314
全區,2002,7438255
全區,2003,6082796
全區,2004,8084886
全區,2005,8571797
全區,2006,9023901
全區,2007,9443976
全區,2008,9058034
全區,2009,8286258
全區,2010,9418593
全區,2011,9591359
全區,2012,10243157
全區,2013,11053350
全區,2014,11848095
全區,2015,13184448
全區,2016,14594569
全區,2017,15660449
全區,2018,16648082
全區,2019,17176932
全區,2020,2344586
全區,2021,360842
全區,2022,1483955
全區,2023,11815000
大洋洲地區,2002,121711
大洋洲地區,2003,123886
大洋洲地區,2004,138913
大洋洲地區,2005,139666
大洋洲地區,2006,124604
大洋洲地區,2007,121340
大洋洲地區,2008,93221
大洋洲地區,2009,103115
大洋洲地區,2010,95845
大洋洲地區,2011,101614
大洋洲地區,2012,89166
大洋洲地區,2013,97120
大洋洲地區,2014,116342
大洋洲地區,2015,118390
大洋洲地區,2016,157726
大洋洲地區,2017,184317
大洋洲地區,2018,224274
大洋洲地區,2019,228135
大洋洲地區,2020,52488
大洋洲地區,2021,4833
大洋洲地區,2022,35582
大洋洲地區,2023,169510
歐洲地區,2002,244541
歐洲地區,2003,212216
歐洲地區,2004,260345
歐洲地區,2005,281022
歐洲地區,2006,258263
歐洲地區,2007,244497
歐洲地區,2008,225023
歐洲地區,2009,236782
歐洲地區,2010,172405
歐洲地區,2011,239062
歐洲地區,2012,240760
歐洲地區,2013,119800
歐洲地區,2014,133677
歐洲地區,2015,161529
歐洲地區,2016,258087
歐洲地區,2017,496529
歐洲地區,2018,537777
歐洲地區,2019,363583
歐洲地區,2020,59773
歐洲地區,2021,7139
歐洲地區,2022,57536
歐洲地區,2023,311041
美洲地區,2002,664794
美洲地區,2003,574501
美洲地區,2004,648630
美洲地區,2005,683344
美洲地區,2006,687038
美洲地區,2007,675033
美洲地區,2008,580983
美洲地區,2009,477468
美洲地區,2010,499518
美洲地區,2011,473259
美洲地區,2012,537014
美洲地區,2013,446595
美洲地區,2014,495479
美洲地區,2015,548267
美洲地區,2016,623191
美洲地區,2017,697361
美洲地區,2018,710039
美洲地區,2019,676520
美洲地區,2020,175736
美洲地區,2021,114339
美洲地區,2022,250502
美洲地區,2023,543463
非洲地區,2002,0
非洲地區,2003,0
非洲地區,2004,0
非洲地區,2005,0
非洲地區,2006,0
非洲地區,2007,1
非洲地區,2008,40
非洲地區,2009,2838
非洲地區,2010,1110
非洲地區,2011,238
非洲地區,2012,1826
非洲地區,2013,14
非洲地區,2014,13
非洲地區,2015,30
非洲地區,2016,5206
非洲地區,2017,16740
非洲地區,2018,16649
非洲地區,2019,27
非洲地區,2020,23
非洲地區,2021,65
非洲地區,2022,205
非洲地區,2023,340
